gene1	gene2	cellType	quadrant
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0.385421691926238	1.56064116496453	TCells1	WT_infected
0.718906810118627	0	TCells1	WT_infected
0.398360224328691	0.682470835022903	TCells1	WT_infected
0	0	TCells3	WT_infected
0	2.43412438824543	TCells2	WT_infected
0	0.931931324415227	TCells3	WT_infected
0	0.455926263388014	TCells1	WT_infected
0	0	TCells2	WT_infected
0	1.55068746193847	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0	1.89842446852378	TCells2	WT_infected
0.334326142482204	1.09359755237704	TCells2	WT_infected
0	0	TCells2	WT_infected
0	1.9269522353107	TCells3	WT_infected
0	0.351460276194285	TCells1	WT_infected
0	0.911814226015253	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.14757311586381	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0.97318569316697	0	NaturalKillerCells	WT_infected
1.25805593225593	0.815049384524173	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	1.77743992177477	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0.476105773285664	1.23523107048906	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
1.08428690240904	0	NaturalKillerCells	WT_infected
0.936528183430649	1.73224424421223	TCells2	WT_infected
0	0	TCells3	WT_infected
0	0	OtherLymphoidCells	WT_infected
0.603871822526317	1.63820746772119	TCells3	WT_infected
0	0	NaturalKillerCells	WT_infected
0.601662498689273	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0.752160709258007	TCells2	WT_infected
0	1.34813052123023	TCells2	WT_infected
0.728146148065575	0	NaturalKillerCells	WT_infected
0	0.981593784356523	TCells3	WT_infected
0.866650785892992	1.32384962001882	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0.617881008750562	0.617881008750562	TCells1	WT_infected
0	1.32674823551744	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0.714298343061103	0	TCells3	WT_infected
0.640539831747848	1.52388432582978	TCells1	WT_infected
0	0.738035576693005	TCells1	WT_infected
0	0	TCells1	WT_infected
0.741874493153353	0	TCells2	WT_infected
0.494172320774035	0.494172320774035	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0.927567275737277	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0.919240852921635	0	NaturalKillerCells	WT_infected
0	1.53736192508292	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	1.48712661895878	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
1.04033361963754	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0.41286626224553	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0.93924011804077	TCells1	WT_infected
0	2.57465017269527	TCells3	WT_infected
0	0	TCells1	WT_infected
0.953546566586117	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	1.40314046727367	TCells1	WT_infected
0.422639178749403	0	TCells2	WT_infected
0	2.79273874617722	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
1.30945770381078	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.55063868356264	TCells2	WT_infected
0	1.13894788790934	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0.883705346479826	TCells2	WT_infected
0.529641895565467	1.98580593664584	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0.746513336181765	TCells1	WT_infected
0.547494681380782	1.92151921015755	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
